User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
585,0,Android,0,1.3,0,19,175,30,Female,1
108,Google Pixel 5,Android,54,1.4,403,17,278,23,Female,1
463,Samsung Galaxy S21,Android,216,5.9,1789,54,987,55,Male,3
522,Google Pixel 5,Android,69,1.1,535,17,250,25,Male,1
533,iPhone 12,iOS,431,6.4,2206,66,1200,23,Female,4
101,Google Pixel 5,Android,41,1.1,389,15,136,53,Male,1
351,Samsung Galaxy S21,Android,463,6.9,2111,73,1463,54,Male,4
626,OnePlus 9,Android,55,1.8,328,12,196,31,Female,1
334,Google Pixel 5,Android,461,7.5,2001,69,1324,34,Female,4
180,iPhone 12,iOS,539,11.9,2853,83,2007,55,Male,5
305,iPhone 12,iOS,155,2.9,1117,22,322,19,Female,2
350,Samsung Galaxy S21,Android,303,7.4,2314,66,1387,34,Male,4
150,Google Pixel 5,Android,149,3.7,873,34,459,51,Male,2
125,Google Pixel 5,Android,227,5.1,1702,57,714,21,Male,3
553,iPhone 12,iOS,173,3.8,605,23,583,32,Male,2
607,OnePlus 9,Android,580,10.4,2496,81,2441,37,Female,5
186,Google Pixel 5,Android,498,10.7,2738,94,1995,42,Male,5
429,Xiaomi Mi 11,Android,94,2.3,1033,33,369,58,Male,2
507,Xiaomi Mi 11,Android,238,5.1,1408,45,941,27,Male,3
691,Google Pixel 5,Android,195,5.7,1447,48,679,30,Male,3
345,iPhone 12,iOS,256,5.8,1309,52,840,43,Male,3
646,Xiaomi Mi 11,Android,174,2.9,1197,23,345,20,Female,2
143,iPhone 12,iOS,156,2.2,896,37,429,57,Female,2
142,Google Pixel 5,Android,448,6.3,2044,71,1337,51,Male,4
394,iPhone 12,iOS,331,0,0,0,1459,0,Male,4
321,iPhone 12,iOS,227,4.4,1275,56,984,22,Female,3
20,iPhone 12,iOS,577,8.5,2774,89,2192,29,Female,5
173,OnePlus 9,Android,153,2.8,935,25,578,37,Female,2
663,Xiaomi Mi 11,Android,130,3.2,1189,37,448,45,Male,2
313,Google Pixel 5,Android,132,2.9,1054,32,563,20,Male,2
652,iPhone 12,iOS,69,1.7,519,10,167,51,Female,1
13,OnePlus 9,Android,462,6.2,2303,65,1099,57,Female,4
306,OnePlus 9,Android,106,2.8,686,32,594,27,Male,2
26,Samsung Galaxy S21,Android,91,3.4,1073,38,451,52,Male,2
520,OnePlus 9,Android,119,2.2,1123,22,371,51,Male,2
170,Google Pixel 5,Android,587,11.8,2431,90,1894,47,Male,5
481,iPhone 12,iOS,155,2.4,954,39,441,51,Male,2
412,Xiaomi Mi 11,Android,575,8.2,2918,88,1928,50,Male,5
246,Samsung Galaxy S21,Android,202,5,1542,45,844,29,Male,3
299,iPhone 12,iOS,264,5.2,1641,44,778,44,Male,3
435,iPhone 12,iOS,581,8.4,2591,99,2304,58,Male,5
273,Google Pixel 5,Android,105,2.2,1002,29,453,31,Female,2
155,Xiaomi Mi 11,Android,68,1.5,364,10,102,31,Female,1
127,iPhone 12,iOS,332,7.4,2149,68,1321,20,Female,4
540,OnePlus 9,Android,592,9.4,2867,95,1701,27,Female,5
342,iPhone 12,iOS,597,10.3,2718,90,1863,26,Female,5
288,Xiaomi Mi 11,Android,211,4,1519,54,811,29,Female,3
114,Samsung Galaxy S21,Android,0,3.2,818,0,404,0,0,0
368,OnePlus 9,Android,598,11.2,2876,85,2477,58,Female,5
174,iPhone 12,iOS,368,6.6,1817,72,1406,27,Female,4
356,Samsung Galaxy S21,Android,30,1.9,574,19,287,45,Male,1
58,OnePlus 9,Android,539,8.4,2796,89,2415,26,Male,5
444,iPhone 12,iOS,231,4,1664,48,724,29,Female,3
223,Xiaomi Mi 11,Android,351,6.1,1941,79,1290,21,Female,4
281,Samsung Galaxy S21,Android,73,1.7,403,12,163,51,Male,1
18,iPhone 12,iOS,299,5.8,1431,41,985,44,Female,3
406,Google Pixel 5,Android,478,7.3,2340,69,1017,43,Female,4
323,Google Pixel 5,Android,347,6.3,2001,61,1456,21,Female,4
256,OnePlus 9,Android,397,7,2352,77,1101,46,Female,4
418,Samsung Galaxy S21,Android,572,11.7,2655,91,2481,57,Female,5
671,iPhone 12,iOS,81,1.6,387,13,224,48,Male,1
191,iPhone 12,iOS,134,2.2,917,23,423,23,Male,2
440,Google Pixel 5,Android,123,3.9,915,39,468,18,Male,2
618,Google Pixel 5,Android,225,5.6,1388,55,965,36,Female,3
680,iPhone 12,iOS,33,1.8,334,16,113,36,Female,1
95,Samsung Galaxy S21,Android,411,7.5,2169,72,1083,58,Male,4
181,OnePlus 9,Android,151,2.4,1124,38,571,33,Male,2
302,iPhone 12,iOS,267,4.4,1505,59,971,38,Female,3
643,Google Pixel 5,Android,502,8.2,2597,90,1553,27,Male,5
513,Samsung Galaxy S21,Android,36,1.6,442,17,249,34,Male,1
644,OnePlus 9,Android,105,3.3,723,35,566,46,Male,2
452,OnePlus 9,Android,591,11.8,2953,92,1903,52,Male,5
430,Xiaomi Mi 11,Android,540,10.1,2757,90,2180,37,Male,5
6,Google Pixel 5,Android,99,2,940,35,564,31,Male,2
687,Google Pixel 5,Android,335,7.7,2037,68,1007,18,Male,4
46,Xiaomi Mi 11,Android,502,10.9,2476,96,1935,39,Male,5
399,OnePlus 9,Android,0,0,323,18,0,43,Female,0
527,Google Pixel 5,Android,99,2.4,689,36,318,29,Female,2
172,Google Pixel 5,Android,46,1.1,487,17,208,23,Male,1
17,OnePlus 9,Android,132,3.6,628,32,344,47,Female,2
49,Google Pixel 5,Android,580,8.2,2623,90,2262,49,Male,5
677,OnePlus 9,Android,141,3.8,689,38,576,34,Male,2
641,Samsung Galaxy S21,Android,63,1.8,321,11,271,42,Male,1
4,Google Pixel 5,Android,239,4.8,1676,56,871,20,Male,3
450,Google Pixel 5,Android,34,1.2,518,10,170,20,Female,1
413,OnePlus 9,Android,257,5.1,1692,46,769,52,Female,3
317,OnePlus 9,Android,299,4.3,1737,43,953,42,Female,3
645,Google Pixel 5,Android,186,4.8,1494,53,949,20,Female,3
284,Google Pixel 5,Android,49,1.3,542,16,169,54,Female,1
504,Google Pixel 5,Android,200,5.8,1291,50,965,52,Male,3
286,OnePlus 9,Android,534,10.8,2805,90,1538,37,Male,5
679,Google Pixel 5,Android,298,4.6,1525,59,814,36,Female,3
226,Xiaomi Mi 11,Android,511,10.8,2712,97,2438,59,Female,5
27,iPhone 12,iOS,444,7.6,2372,77,1002,29,Male,4
549,Google Pixel 5,Android,383,6.6,2155,74,1360,45,Male,4
264,Samsung Galaxy S21,Android,70,1.7,359,10,109,57,Male,1
51,Xiaomi Mi 11,Android,452,7.4,2180,61,1417,54,Female,4
365,Xiaomi Mi 11,Android,579,8.6,2539,84,1935,34,Male,5
230,Samsung Galaxy S21,Android,360,7.3,1946,79,1164,50,Male,4
38,Samsung Galaxy S21,Android,522,11.2,2808,93,2328,24,Male,5
158,Xiaomi Mi 11,Android,339,7.8,2102,71,1062,51,Male,4
238,OnePlus 9,Android,425,6.9,2142,66,1130,19,Female,4
672,Google Pixel 5,Android,468,7.3,1937,64,1209,22,Male,4
375,OnePlus 9,Android,69,1.3,434,12,164,42,Male,1
371,iPhone 12,iOS,558,9.8,2765,83,1548,25,Female,5
176,Google Pixel 5,Android,279,5.2,1660,47,629,50,Female,3
604,OnePlus 9,Android,138,2.1,660,22,424,41,Female,2
482,Samsung Galaxy S21,Android,528,10.4,2717,87,2140,34,Male,5
515,Samsung Galaxy S21,Android,466,7.1,1984,73,1461,54,Male,4
195,Samsung Galaxy S21,Android,473,6.4,2109,79,1300,23,Female,4
595,Xiaomi Mi 11,Android,447,6.3,1959,63,1441,48,Male,4
603,OnePlus 9,Android,122,3,922,32,373,43,Male,2
426,Samsung Galaxy S21,Android,130,2.8,1062,24,579,37,Male,2
446,Samsung Galaxy S21,Android,378,7.2,1859,61,1318,58,Male,4
449,Samsung Galaxy S21,Android,152,3,617,22,306,22,Female,2
676,Xiaomi Mi 11,Android,81,1.5,545,17,159,40,Male,1
582,Samsung Galaxy S21,Android,148,2.7,625,34,416,27,Male,2
653,Xiaomi Mi 11,Android,206,5.2,1632,47,694,30,Male,3
68,Xiaomi Mi 11,Android,134,4,773,35,449,28,Female,2
536,Samsung Galaxy S21,Android,139,3.3,937,24,573,25,Female,2
169,Google Pixel 5,Android,0,5.4,1370,0,791,0,Female,3
448,Samsung Galaxy S21,Android,234,5.2,1604,58,919,58,Male,3
163,Google Pixel 5,Android,442,7.7,2067,69,1440,45,Male,4
310,OnePlus 9,Android,397,6.8,2027,66,1167,40,Male,4
194,iPhone 12,iOS,262,4.1,1287,52,997,36,Male,3
480,Samsung Galaxy S21,Android,189,4.8,1681,59,795,57,Male,3
366,OnePlus 9,Android,382,7.2,1965,67,1341,22,Male,4
384,OnePlus 9,Android,104,2.9,653,35,322,30,Male,2
631,Google Pixel 5,Android,94,3.1,1078,38,489,25,Male,2
498,iPhone 12,iOS,102,2.9,918,37,362,20,Female,2
153,Google Pixel 5,Android,120,2,741,38,396,56,Female,2
599,Samsung Galaxy S21,Android,114,3,1131,31,596,28,Male,2
605,OnePlus 9,Android,182,5.3,1278,42,885,54,Female,3
227,Xiaomi Mi 11,Android,384,7,2185,72,1376,59,Male,4
458,OnePlus 9,Android,234,4.7,1707,55,871,46,Male,3
559,Google Pixel 5,Android,361,7.6,2037,65,1056,55,Male,4
104,Xiaomi Mi 11,Android,274,4.2,1781,52,934,28,Male,3
422,iPhone 12,iOS,168,3.2,716,38,414,43,Male,2
616,Google Pixel 5,Android,119,3.7,608,36,461,52,Male,2
529,Google Pixel 5,Android,175,3,801,32,338,24,Male,2
75,iPhone 12,iOS,47,2,476,14,125,39,Male,1
116,iPhone 12,iOS,121,3.2,651,34,596,39,Male,2
408,OnePlus 9,Android,395,7.3,2291,61,1049,55,Female,4
675,Xiaomi Mi 11,Android,522,11.4,2776,93,1768,27,Female,5
120,Google Pixel 5,Android,97,2.7,1018,37,428,41,Male,2
54,Xiaomi Mi 11,Android,97,2.2,1101,38,375,53,Male,2
152,Samsung Galaxy S21,Android,42,1.6,315,19,207,52,Female,1
404,Samsung Galaxy S21,Android,566,8.6,2595,89,1657,51,Female,5
660,Xiaomi Mi 11,Android,505,9.6,2464,91,2375,35,Male,5
208,Google Pixel 5,Android,163,3.1,620,21,419,23,Male,2
689,Google Pixel 5,Android,261,4.9,1589,56,824,52,Female,3
489,Xiaomi Mi 11,Android,416,7.3,1882,62,1333,32,Female,4
469,Xiaomi Mi 11,Android,429,7.5,1921,61,1102,46,Male,4
539,Google Pixel 5,Android,576,9.5,2638,98,2281,38,Female,5
9,Samsung Galaxy S21,Android,340,7.7,2138,75,1053,42,Female,4
648,iPhone 12,iOS,66,1.5,565,17,283,42,Female,1
37,iPhone 12,iOS,122,3.3,755,30,573,26,Male,2
453,Samsung Galaxy S21,Android,120,3.3,734,35,583,26,Male,2
140,Google Pixel 5,Android,516,11.1,2429,91,1796,53,Male,5
254,Xiaomi Mi 11,Android,100,2.4,982,31,478,48,Female,2
304,iPhone 12,iOS,541,11.4,2443,89,1923,34,Female,5
634,OnePlus 9,Android,138,3.2,1142,31,366,29,Female,2
528,iPhone 12,iOS,44,1.2,466,10,131,57,Female,1
369,OnePlus 9,Android,102,3.9,747,36,408,49,Female,2
60,iPhone 12,iOS,325,7.1,2269,64,1053,56,Male,4
112,Xiaomi Mi 11,Android,488,8.6,2447,84,2344,19,Male,5
491,Google Pixel 5,Android,416,6.1,2279,71,1096,47,Male,4
661,Google Pixel 5,Android,50,1.5,387,12,146,59,Male,1
495,Samsung Galaxy S21,Android,107,2.5,1176,24,545,29,Female,2
263,iPhone 12,iOS,518,9.6,2954,93,2125,34,Female,5
588,Samsung Galaxy S21,Android,328,6.1,1975,72,1101,24,Male,4
298,iPhone 12,iOS,170,2.7,805,26,344,53,Female,2
415,Google Pixel 5,Android,116,2,1171,22,573,33,Female,2
151,iPhone 12,iOS,523,9.4,2583,92,1539,21,Male,5
434,OnePlus 9,Android,46,2,309,15,116,42,Male,1
555,iPhone 12,iOS,387,6.6,2168,61,1246,19,Female,4
441,Google Pixel 5,Android,260,5.7,1725,56,920,36,Female,3
666,iPhone 12,iOS,198,5.4,1544,53,635,53,Male,3
267,iPhone 12,iOS,181,4.1,1608,43,752,22,Female,3
609,Xiaomi Mi 11,Android,258,4.9,1596,56,937,40,Female,3
360,Samsung Galaxy S21,Android,230,4.6,1325,55,845,54,Female,3
621,iPhone 12,iOS,218,5,1475,46,972,59,Female,3
39,OnePlus 9,Android,473,6.4,2312,74,1400,40,Male,4
128,Google Pixel 5,Android,252,4.2,1439,45,667,50,Female,3
424,Xiaomi Mi 11,Android,46,1.1,536,18,167,28,Female,1
417,Xiaomi Mi 11,Android,264,5.1,1293,52,737,27,Female,3
308,OnePlus 9,Android,410,7.5,2176,68,1213,45,Female,4
199,OnePlus 9,Android,80,1.6,549,14,197,19,Male,1
352,Google Pixel 5,Android,60,1.5,593,14,281,35,Female,1
496,Google Pixel 5,Android,493,10.9,2928,88,2116,57,Male,5
147,Samsung Galaxy S21,Android,443,7.4,2289,73,1026,33,Male,4
451,Samsung Galaxy S21,Android,179,3.5,1114,30,466,56,Male,2
649,iPhone 12,iOS,389,6.3,2294,76,1334,53,Male,4
524,Samsung Galaxy S21,Android,506,11.2,2623,98,2460,48,Male,5
420,iPhone 12,iOS,83,1.4,454,11,228,46,Male,1
443,Google Pixel 5,Android,66,1.1,505,17,218,33,Male,1
623,Xiaomi Mi 11,Android,453,7.4,2363,65,1046,41,Female,4
148,Xiaomi Mi 11,Android,52,1.6,385,19,234,24,Male,1
548,iPhone 12,iOS,139,2.6,658,33,358,58,Female,2
349,Google Pixel 5,Android,156,3.8,866,34,510,26,Male,2
464,iPhone 12,iOS,290,4.6,1694,50,809,23,Male,3
326,OnePlus 9,Android,203,4.3,1554,54,638,25,Female,3
187,iPhone 12,iOS,402,7.8,2014,79,1088,34,Female,4
124,Google Pixel 5,Android,529,8.1,2686,96,1924,35,Male,5
594,Samsung Galaxy S21,Android,217,4.2,1500,42,677,26,Female,3
97,iPhone 12,iOS,550,9.5,2916,91,1946,20,Male,5
144,Samsung Galaxy S21,Android,68,1.1,528,12,201,29,Male,1
240,iPhone 12,iOS,573,10.8,2711,96,2118,33,Female,5
395,Google Pixel 5,Android,589,9.2,2663,84,1774,45,Female,5
470,Xiaomi Mi 11,Android,39,1.9,541,16,294,37,Male,1
198,OnePlus 9,Android,151,3.7,1116,32,320,41,Female,2
98,OnePlus 9,Android,516,12,2406,82,1968,28,Female,5
372,Google Pixel 5,Android,561,10.6,2547,86,1823,22,Male,5
325,iPhone 12,iOS,445,7.5,2007,78,1115,23,Male,4
280,Samsung Galaxy S21,Android,411,7.8,2029,75,1136,33,Female,4
294,Xiaomi Mi 11,Android,226,4.5,1781,45,649,27,Female,3
401,Xiaomi Mi 11,Android,522,11.1,2821,86,1891,42,Male,5
123,Google Pixel 5,Android,584,10,2541,99,2391,49,Female,5
184,iPhone 12,iOS,73,1.2,308,15,275,39,Female,1
203,Xiaomi Mi 11,Android,88,1.3,327,11,262,22,Male,1
439,OnePlus 9,Android,105,3,728,24,343,52,Female,2
247,Google Pixel 5,Android,71,1.5,590,17,257,33,Male,1
416,iPhone 12,iOS,98,2.3,608,24,394,56,Male,2
620,Samsung Galaxy S21,Android,292,4.2,1407,54,867,59,Male,3
130,Xiaomi Mi 11,Android,97,3.3,751,39,412,36,Female,2
403,iPhone 12,iOS,411,7.4,1960,71,1264,40,Male,4
551,Xiaomi Mi 11,Android,455,6.2,1984,72,1287,42,Male,4
543,Google Pixel 5,Android,242,5.4,1307,48,642,28,Male,3
220,Xiaomi Mi 11,Android,101,3.2,603,28,417,43,Male,2
636,Samsung Galaxy S21,Android,96,3.4,1198,39,401,48,Female,2
531,Xiaomi Mi 11,Android,589,11.8,2629,86,2479,43,Female,5
639,Google Pixel 5,Android,417,6.2,2074,63,1135,35,Female,4
538,Samsung Galaxy S21,Android,593,11.1,2672,82,2258,34,Female,5
387,OnePlus 9,Android,98,2,925,32,457,28,Male,2
678,Samsung Galaxy S21,Android,115,3.5,706,26,495,52,Female,2
510,iPhone 12,iOS,492,10,2513,90,1968,31,Male,5
268,OnePlus 9,Android,584,9.4,2766,84,2151,32,Male,5
442,Samsung Galaxy S21,Android,223,5.7,1295,44,751,39,Male,3
497,iPhone 12,iOS,182,4.8,1500,51,807,43,Female,3
113,Google Pixel 5,Android,295,5.1,1483,45,748,27,Female,3
233,Xiaomi Mi 11,Android,537,10,2720,83,1763,35,Male,5
608,Xiaomi Mi 11,Android,203,4,1323,56,787,21,Male,3
374,Google Pixel 5,Android,560,11.3,2947,95,1663,25,Female,5
234,OnePlus 9,Android,129,3.4,1059,27,580,36,Female,2
552,Samsung Galaxy S21,Android,157,2.5,1110,30,373,37,Female,2
318,Google Pixel 5,Android,116,2.2,827,29,434,28,Female,2
411,Samsung Galaxy S21,Android,501,11.8,2790,86,2074,31,Female,5
625,Samsung Galaxy S21,Android,36,1.5,310,15,272,45,Male,1
359,Google Pixel 5,Android,74,2,366,13,253,44,Female,1
259,Xiaomi Mi 11,Android,201,4,1791,50,914,18,Male,3
283,iPhone 12,iOS,386,7.7,2114,72,1209,51,Male,4
377,iPhone 12,iOS,65,1.7,490,17,122,51,Female,1
385,Samsung Galaxy S21,Android,102,3,890,38,548,28,Male,2
225,OnePlus 9,Android,92,2.5,690,31,563,27,Male,2
665,Xiaomi Mi 11,Android,555,10.3,2568,83,2003,52,Male,5
570,Google Pixel 5,Android,404,6.6,2181,77,1327,18,Male,4
473,Xiaomi Mi 11,Android,139,3,697,37,513,26,Female,2
348,Samsung Galaxy S21,Android,62,1.4,542,18,266,46,Male,1
506,Samsung Galaxy S21,Android,348,6.6,2398,66,1415,49,Female,4
690,Samsung Galaxy S21,Android,541,9.5,2424,98,1550,32,Male,5
658,Xiaomi Mi 11,Android,278,5.3,1368,56,894,40,Female,3
630,iPhone 12,iOS,461,6.3,1988,62,1004,21,Male,4
596,OnePlus 9,Android,512,10.5,2538,82,1694,41,Male,5
557,iPhone 12,iOS,142,3.5,625,25,370,40,Female,2
86,Google Pixel 5,Android,404,7.4,2081,63,1352,44,Male,4
243,OnePlus 9,Android,162,3.5,761,36,338,51,Male,2
160,Xiaomi Mi 11,Android,131,2.4,859,26,305,40,Male,2
525,Samsung Galaxy S21,Android,272,5.2,1390,45,792,57,Female,3
36,Samsung Galaxy S21,Android,32,1.2,580,19,153,20,Female,1
541,iPhone 12,iOS,567,10.5,2817,89,2194,52,Male,5
171,Xiaomi Mi 11,Android,92,3.7,1124,27,524,44,Male,2
598,OnePlus 9,Android,140,2.5,825,31,347,59,Male,2
590,Samsung Galaxy S21,Android,111,3.6,627,26,464,39,Female,2
659,Xiaomi Mi 11,Android,463,6.8,2358,68,1236,43,Female,4
96,Xiaomi Mi 11,Android,326,7.2,2243,73,1454,50,Male,4
564,iPhone 12,iOS,46,1.6,440,10,265,31,Male,1
241,Google Pixel 5,Android,45,1.7,302,16,191,57,Female,1
575,Xiaomi Mi 11,Android,519,10.9,2571,93,2163,47,Female,5
461,Samsung Galaxy S21,Android,523,9,2696,91,1561,20,Female,5
554,Samsung Galaxy S21,Android,405,7.3,2082,75,1162,37,Female,4
613,Xiaomi Mi 11,Android,0,10.2,2911,82,0,44,Male,5
207,Google Pixel 5,Android,78,1.7,455,15,207,37,Female,1
393,Samsung Galaxy S21,Android,168,3.5,1055,29,313,54,Male,2
398,iPhone 12,iOS,517,11.6,2798,90,2175,0,Male,5
591,Samsung Galaxy S21,Android,159,3.7,630,33,575,30,Male,2
218,OnePlus 9,Android,555,9.5,2855,95,1565,24,Male,5
5,iPhone 12,iOS,187,4.3,1367,58,988,31,Female,3
624,OnePlus 9,Android,42,1.8,417,15,284,21,Male,1
547,OnePlus 9,Android,236,4.6,1750,45,971,21,Female,3
99,Google Pixel 5,Android,59,1.2,361,18,293,25,Female,1
574,Samsung Galaxy S21,Android,537,9.1,2858,86,2158,22,Male,5
407,Xiaomi Mi 11,Android,147,3.2,994,33,567,25,Female,2
503,Xiaomi Mi 11,Android,582,8.4,2664,91,2493,55,Female,5
48,Samsung Galaxy S21,Android,138,3.6,889,25,323,27,Female,2
33,Google Pixel 5,Android,278,4.7,1484,55,917,21,Male,3
201,Samsung Galaxy S21,Android,495,8.9,2920,84,2252,31,Female,5
135,Xiaomi Mi 11,Android,83,1.6,303,19,285,51,Male,1
28,Google Pixel 5,Android,512,10.5,2409,89,1599,33,Male,5
694,Xiaomi Mi 11,Android,505,8.6,2792,82,1709,31,Male,5
231,iPhone 12,iOS,159,2.3,1083,32,526,38,Male,2
490,Google Pixel 5,Android,586,9.3,2403,94,2332,21,Male,5
379,Samsung Galaxy S21,Android,525,10.8,2445,99,1623,57,Male,5
289,OnePlus 9,Android,121,3.7,619,36,473,47,Male,2
419,Xiaomi Mi 11,Android,202,0,1549,0,964,27,Female,3
392,OnePlus 9,Android,337,6.1,1901,76,1359,58,Male,4
593,Samsung Galaxy S21,Android,379,7.7,1809,64,1050,22,Female,4
499,Google Pixel 5,Android,274,4.5,1356,54,869,53,Male,3
139,Samsung Galaxy S21,Android,497,9.7,2876,94,2076,18,Male,5
63,Xiaomi Mi 11,Android,79,1.9,493,14,128,55,Male,1
472,Xiaomi Mi 11,Android,541,9.4,2452,93,1811,53,Female,5
129,Xiaomi Mi 11,Android,125,2.5,678,34,465,31,Male,2
681,Google Pixel 5,Android,307,6.1,2105,76,1111,25,Female,4
